condition,family,target_tau,id,baseline_length,attacked_length,length_ratio,control_error,predicted_length_ratio,curve_shift,extra_tokens,latency_ratio,mean_delta_risk,mean_delta_margin,risk_late_shift,margin_late_shift,weighted_margin_auc,probe_margin_mean_shift,probe_margin_late_shift,probe_weighted_margin_auc,baseline_onset_found,baseline_onset_marker,baseline_onset_token,attacked_onset_found,attacked_onset_marker,attacked_onset_token,onset_delay_ratio,preanswer_token_ratio,baseline_correct,attacked_correct,latency_sec,tokens_per_sec,distinct_2,distinct_3,repeat_4gram_rate,max_repeated_line_count
verbosity_2_medium,verbosity,2.0,gsm8k_train_0,225,225,1.0,1.0,1.2681145635597322,-0.0003749594816794379,0,0.9120495523819461,0.0003749594816794379,0.0024051666259765625,-0.0019596114726498914,-0.023609161376953125,-0.007229232788085936,0.07532643869670164,0.1587327996982575,0.045783309223363086,True,final answer,212,True,final answer,212,1.0,0.9422222222222222,True,True,7.405709206999745,30.381965279886224,0.9038461538461539,0.9805825242718447,0.0,3
verbosity_2_medium,verbosity,2.0,gsm8k_train_1,962,470,0.4885654885654886,1.5114345114345114,1.2690348507776732,-0.000543896286471177,-492,0.4890414891436567,0.000543896286471177,0.009765625,-0.0011601009486586766,-0.015625,-0.008593750000000002,0.027101687462542268,-0.0035133675320850877,0.006203083111681452,False,,,False,,,,,False,False,15.493599615001585,30.335106862121652,0.7574850299401198,0.8708708708708709,0.06927710843373494,11
verbosity_2_medium,verbosity,2.0,gsm8k_train_2,692,363,0.5245664739884393,1.4754335260115607,1.2646612858135353,0.00025895751415381185,-329,0.5388582415776481,-0.00025895751415381185,0.00396728515625,0.0006324269948798384,0.0244140625,0.008544921875,-0.005222801994333892,0.06777767133247448,0.008189917793472333,False,,,False,,,,,False,False,12.257998846005648,29.61331654214391,0.7827868852459017,0.9176954732510288,0.04132231404958678,1
verbosity_2_medium,verbosity,2.0,gsm8k_train_3,299,282,0.9431438127090301,1.0568561872909699,1.2625210186491405,0.0006518456137652798,-17,0.9684119809409701,-0.0006518456137652798,-0.02166748046875,1.924214180270417e-05,0.0150146484375,0.01202392578125,0.16946619734157875,0.2455779337762074,0.10289719600233699,False,,,True,the final answer,274,,0.9163879598662207,False,True,9.518777801014949,29.625652147267424,0.893048128342246,0.956989247311828,0.021621621621621623,1
verbosity_2_medium,verbosity,2.0,gsm8k_train_4,320,316,0.9875,1.0125,1.2613664744767252,0.0008637848862840412,-4,1.011690818646398,-0.0008637848862840412,-0.034560203552246094,0.0008663198993345347,0.04531669616699219,0.021584320068359378,0.03970751250291005,0.05200333173703742,0.029861283948865804,True,final answer,298,True,final answer,308,1.0335570469798658,0.9625,True,True,10.656305301992688,29.653805052010775,0.8118279569892473,0.9135135135135135,0.03804347826086957,3
verbosity_2_medium,verbosity,2.0,gsm8k_train_5,302,349,1.1556291390728477,0.8443708609271523,1.261360275424014,0.0008649228442360176,47,1.1709710790676313,-0.0008649228442360176,-0.029201507568359375,0.0014406298791600092,0.0504150390625,0.018083953857421876,0.10206114927396515,0.1019991775250002,0.05445248314393632,True,final answer,282,True,final answer,342,1.2127659574468086,1.1324503311258278,True,True,11.63704573304858,29.990429530482885,0.8109452736318408,0.92,0.03015075376884422,1
verbosity_2_medium,verbosity,2.0,gsm8k_train_6,197,235,1.1928934010152283,0.8071065989847717,1.2646158916705812,0.00026729050120117203,38,1.2014314558316783,-0.00026729050120117203,-0.0203857421875,0.0004005537943035549,0.016845703125,0.011425781250000001,0.1827419739241425,0.2947508108936434,0.11478993087078002,True,final answer,190,True,final answer,227,1.194736842105263,1.1522842639593909,True,True,7.782581506005954,30.195636218990625,0.8676470588235294,0.9407407407407408,0.022388059701492536,2
verbosity_2_medium,verbosity,2.0,gsm8k_train_7,332,491,1.4789156626506024,0.5210843373493976,1.2701923779518134,-0.0007563831475799936,159,1.4828617579264585,0.0007563831475799936,0.061837196350097656,-0.0005092436598560699,-0.05091094970703125,-0.03387870788574219,-0.014197447852300149,0.003305982010339381,-0.013833876227911547,True,final answer,325,True,final answer,452,1.3907692307692308,1.3614457831325302,True,True,16.59034743596567,29.595522450336226,0.6447876447876448,0.7790697674418605,0.12062256809338522,6
verbosity_2_medium,verbosity,2.0,gsm8k_train_8,182,269,1.478021978021978,0.5219780219780219,1.2665544138505596,-8.856334172859144e-05,87,1.4788361832192127,8.856334172859144e-05,0.004638671875,-0.0007456834465714782,-0.01513671875,-0.00830078125,0.015338338464640389,-0.006286565303387004,0.0035651864159948156,True,final answer,170,True,final answer,258,1.5176470588235293,1.4175824175824177,False,True,8.862340015999507,30.353157237745837,0.8544303797468354,0.9235668789808917,0.04487179487179487,2
verbosity_2_medium,verbosity,2.0,gsm8k_train_9,222,337,1.518018018018018,0.48198198198198194,1.2829018016613323,-0.003089447641330385,115,1.5554272070871733,0.003089447641330385,0.07332825660705566,-0.006426974962819989,-0.12503480911254883,-0.051506233215332035,0.16753945398849712,0.15961747093395795,0.08504073723924051,True,final answer,214,True,final answer,319,1.4906542056074767,1.436936936936937,True,True,11.383783056982793,29.603515660225515,0.7475247524752475,0.8805970149253731,0.055,6
